Category,Sub Category,Order Date,Profit
Snacks,Cookies,11/27/2017,617.6
Food Grains,Dals & Pulses,12-04-2017,486.25
Oil & Masala,Masalas,04-07-2016,171.18
Beverages,Health Drinks,10/13/2018,224.01
Fruits & Veggies,Organic Vegetables,6/21/2015,234.12
Snacks,Cookies,09-02-2015,151.52
"Eggs, Meat & Fish",Mutton,11/27/2017,692.81
Oil & Masala,Edible Oil & Ghee,09-12-2018,220.15
Food Grains,Dals & Pulses,09-12-2018,126.28
Fruits & Veggies,Fresh Fruits,11/27/2017,920.25
Oil & Masala,Spices,09-07-2018,401.1
Food Grains,Organic Staples,4/23/2018,375.9
Snacks,Cookies,9/20/2016,95.9
Beverages,Health Drinks,9/20/2015,618.6
Fruits & Veggies,Organic Fruits,09-12-2018,515.16
Fruits & Veggies,Fresh Fruits,12-02-2018,285.22
Oil & Masala,Spices,11/20/2018,473.4
Snacks,Noodles,10/14/2015,946.69
Beverages,Soft Drinks,5/17/2017,680.43
Food Grains,Atta & Flour,1/15/2018,414.8
Oil & Masala,Spices,9/18/2017,176.8
Fruits & Veggies,Organic Vegetables,12-04-2017,223.21
Food Grains,Rice,12/19/2016,171.01
Beverages,Health Drinks,1/29/2018,796.4
"Eggs, Meat & Fish",Fish,8/19/2017,367.54
Oil & Masala,Masalas,12-07-2016,319.8
Food Grains,Atta & Flour,08-09-2016,135.52
Beverages,Health Drinks,11-07-2017,209.92
Fruits & Veggies,Organic Vegetables,05-03-2017,266.76
Bakery,Breads & Buns,02-07-2017,301.91
Bakery,Breads & Buns,4/23/2017,414.96
Bakery,Breads & Buns,10/15/2015,304.02
Oil & Masala,Spices,12-10-2018,132
Fruits & Veggies,Fresh Vegetables,11/21/2018,324.02
Snacks,Chocolates,5/16/2018,173.12
Beverages,Health Drinks,8/25/2018,816.3
Oil & Masala,Masalas,7/28/2017,194.24
Snacks,Cookies,12/19/2016,399.28
Beverages,Health Drinks,6/16/2016,77.95
Beverages,Soft Drinks,12/19/2016,769.5
Beverages,Health Drinks,11/20/2017,535.92
"Eggs, Meat & Fish",Mutton,07-07-2018,554.42
Food Grains,Dals & Pulses,12-01-2018,100
Oil & Masala,Spices,07-07-2018,295.68
Food Grains,Organic Staples,8/13/2016,439.04
Bakery,Breads & Buns,10/21/2015,450.12
Food Grains,Dals & Pulses,12/19/2016,578.55
Beverages,Soft Drinks,2/27/2015,705.6
Fruits & Veggies,Fresh Vegetables,12-08-2018,266.76
"Eggs, Meat & Fish",Fish,11/24/2017,86.88
Snacks,Noodles,12/31/2017,939.9
Snacks,Noodles,11/21/2018,170.73
Beverages,Health Drinks,11-05-2016,551.2
Bakery,Cakes,07-11-2016,694.71
Bakery,Breads & Buns,8/19/2017,148.95
"Eggs, Meat & Fish",Fish,12-07-2016,901.2
Beverages,Soft Drinks,08-03-2018,62.76
Snacks,Noodles,4/23/2017,883.96
Beverages,Soft Drinks,05-03-2017,231.48
"Eggs, Meat & Fish",Chicken,9/22/2016,288.45
"Eggs, Meat & Fish",Mutton,8/19/2017,68.51
Beverages,Soft Drinks,09-09-2018,470
Fruits & Veggies,Organic Vegetables,04-05-2016,266.86
"Eggs, Meat & Fish",Fish,06-01-2018,538.72
Fruits & Veggies,Fresh Fruits,4/23/2017,94.95
Beverages,Health Drinks,11-10-2017,55.44
Bakery,Biscuits,1/15/2018,801.24
Bakery,Breads & Buns,06-10-2017,218.43
Food Grains,Atta & Flour,12/22/2018,42.95
Beverages,Health Drinks,12-10-2018,308.23
Snacks,Noodles,11/20/2017,613.71
Food Grains,Rice,06-01-2018,291.2
Oil & Masala,Spices,09-09-2018,70.2
Bakery,Biscuits,9/14/2018,836.81
Fruits & Veggies,Fresh Fruits,9/16/2018,198.12
Snacks,Chocolates,9/16/2018,208.75
Bakery,Cakes,11/20/2017,121.36
Oil & Masala,Edible Oil & Ghee,11-05-2016,413.06
"Eggs, Meat & Fish",Chicken,09-09-2018,300.56
Food Grains,Dals & Pulses,07-11-2016,282.88
Fruits & Veggies,Organic Fruits,9/21/2015,689.75
Fruits & Veggies,Organic Vegetables,07-11-2016,119.47
Fruits & Veggies,Fresh Fruits,9/14/2018,94.32
Snacks,Chocolates,7/28/2017,339.69
Food Grains,Atta & Flour,5/30/2018,323.95
Beverages,Soft Drinks,4/16/2016,970.2
Snacks,Chocolates,12-11-2016,400
Beverages,Health Drinks,06-06-2017,203.52
Bakery,Biscuits,12/19/2018,457.8
Fruits & Veggies,Fresh Fruits,10/30/2016,203.87
Fruits & Veggies,Fresh Fruits,12-02-2018,524.94
"Eggs, Meat & Fish",Chicken,06-06-2017,424.62
"Eggs, Meat & Fish",Chicken,06-06-2017,587.3
Food Grains,Dals & Pulses,08-12-2015,458.2
Food Grains,Atta & Flour,10/13/2018,499.12
"Eggs, Meat & Fish",Eggs,06-06-2017,485.76
Oil & Masala,Masalas,05-05-2017,540.24
Fruits & Veggies,Organic Vegetables,9/24/2018,301.91
Beverages,Health Drinks,11-02-2016,478.1
Bakery,Cakes,12/23/2016,719.65
Snacks,Chocolates,9/22/2018,370.4
Beverages,Soft Drinks,02-12-2017,177.76
Beverages,Health Drinks,8/13/2017,48
Beverages,Health Drinks,3/23/2016,70.2
Snacks,Chocolates,10/13/2018,549.25
Oil & Masala,Masalas,3/23/2016,569.4
Snacks,Cookies,4/30/2015,629.92
"Eggs, Meat & Fish",Mutton,7/24/2017,399.75
"Eggs, Meat & Fish",Fish,4/30/2015,365.4
Beverages,Soft Drinks,5/19/2015,115.9
Bakery,Cakes,05-06-2018,81.1
Bakery,Biscuits,02-12-2017,246.05
"Eggs, Meat & Fish",Eggs,9/24/2018,212.38
Bakery,Biscuits,8/13/2017,612.09
Beverages,Soft Drinks,10/13/2018,221.67
Bakery,Breads & Buns,1/14/2018,1038.66
Beverages,Soft Drinks,05-01-2017,941.64
Oil & Masala,Masalas,6/20/2018,121.03
Food Grains,Rice,12/30/2015,317.07
Food Grains,Atta & Flour,6/23/2015,145.58
Snacks,Noodles,11/19/2017,847.6
Food Grains,Dals & Pulses,05-01-2018,103.41
Snacks,Cookies,11/30/2016,336
Bakery,Breads & Buns,12/16/2017,208.04
Snacks,Noodles,11/20/2018,591.04
"Eggs, Meat & Fish",Fish,6/22/2018,83.79
Food Grains,Atta & Flour,3/23/2015,806.6
Fruits & Veggies,Fresh Fruits,04-09-2018,307.8
Oil & Masala,Masalas,04-09-2018,897.96
"Eggs, Meat & Fish",Mutton,9/23/2018,529.32
Snacks,Noodles,8/14/2017,800
"Eggs, Meat & Fish",Chicken,08-09-2017,627.76
Oil & Masala,Spices,10-09-2018,603.36
Food Grains,Dals & Pulses,8/15/2015,195.3
Bakery,Breads & Buns,8/15/2015,319.58
Fruits & Veggies,Organic Fruits,3/26/2017,561.34
Beverages,Health Drinks,11/20/2018,530.15
Snacks,Chocolates,12/18/2018,618.28
Oil & Masala,Spices,6/23/2015,130
Snacks,Noodles,08-09-2017,324.52
Bakery,Breads & Buns,04-09-2018,105.2
Snacks,Cookies,05-01-2017,113.96
Fruits & Veggies,Organic Vegetables,7/29/2017,776.9
Fruits & Veggies,Fresh Fruits,6/14/2017,150.78
Food Grains,Organic Staples,11/30/2016,258.15
Snacks,Noodles,12/24/2015,648.52
Bakery,Cakes,09-07-2018,30.55
Bakery,Cakes,7/20/2015,852.48
Snacks,Cookies,12/16/2016,361.6
Snacks,Chocolates,11-10-2017,498.24
Food Grains,Atta & Flour,11/16/2018,239.1
"Eggs, Meat & Fish",Fish,9/29/2018,594.5
Bakery,Cakes,6/20/2017,778.44
Food Grains,Organic Staples,10-01-2018,224.49
Fruits & Veggies,Fresh Vegetables,4/27/2018,190.32
Snacks,Noodles,6/29/2018,84.7
"Eggs, Meat & Fish",Mutton,07-04-2017,116.22
Beverages,Health Drinks,07-03-2017,336.95
Snacks,Cookies,09-05-2017,426.25
Food Grains,Dals & Pulses,12-12-2016,435
"Eggs, Meat & Fish",Mutton,11/18/2018,342.38
Food Grains,Organic Staples,12/18/2018,263.55
Fruits & Veggies,Organic Fruits,07-03-2017,164.43
Fruits & Veggies,Organic Fruits,09-05-2017,899.34
Bakery,Cakes,6/16/2018,471.12
Food Grains,Atta & Flour,01-03-2017,260.61
Bakery,Cakes,10-04-2016,40.25
Beverages,Soft Drinks,7/31/2018,637.13
Oil & Masala,Edible Oil & Ghee,3/23/2018,349.8
Food Grains,Organic Staples,11/15/2015,313.1
Beverages,Soft Drinks,08-12-2018,276.64
"Eggs, Meat & Fish",Mutton,06-11-2018,751.45
Bakery,Cakes,8/21/2018,475.92
Snacks,Cookies,11/28/2015,492.59
Snacks,Noodles,12/18/2018,431.25
Fruits & Veggies,Organic Vegetables,4/27/2018,889.2
Oil & Masala,Masalas,12-07-2015,372.24
Bakery,Cakes,11/14/2017,487.2
Food Grains,Atta & Flour,05-03-2016,221.26
Oil & Masala,Masalas,03-07-2015,463.22
Food Grains,Rice,11/23/2015,564.06
Fruits & Veggies,Organic Fruits,4/13/2017,143.31
Food Grains,Organic Staples,05-08-2017,226.05
"Eggs, Meat & Fish",Eggs,04-12-2017,587.73
"Eggs, Meat & Fish",Chicken,2/22/2015,258.88
Bakery,Breads & Buns,7/20/2015,139.3
Oil & Masala,Masalas,3/23/2018,662.65
Bakery,Breads & Buns,12-08-2018,347.97
Food Grains,Dals & Pulses,6/29/2018,231.71
Bakery,Breads & Buns,6/20/2017,133.77
Food Grains,Rice,4/18/2016,184.9
Bakery,Breads & Buns,03-07-2015,225.42
Beverages,Health Drinks,11/18/2018,399.12
Snacks,Chocolates,3/25/2018,168.72
Oil & Masala,Edible Oil & Ghee,11-03-2017,71.3
Food Grains,Rice,11/28/2016,641.4
Bakery,Biscuits,06-05-2017,86.28
"Eggs, Meat & Fish",Fish,4/27/2018,297.39
Bakery,Cakes,8/21/2018,167.22
Beverages,Health Drinks,11/24/2018,887.3
Food Grains,Atta & Flour,6/17/2017,418.75
Oil & Masala,Masalas,7/20/2015,339.36
"Eggs, Meat & Fish",Eggs,10-11-2015,287.28
Oil & Masala,Edible Oil & Ghee,9/18/2016,615.81
Oil & Masala,Masalas,07-04-2017,348.48
Snacks,Noodles,06-10-2018,169.86
Food Grains,Organic Staples,9/29/2018,1025.64
Food Grains,Rice,3/19/2016,231
Beverages,Health Drinks,8/21/2018,924.75
Beverages,Health Drinks,12/18/2018,552.27
Snacks,Chocolates,10-09-2018,291.89
Food Grains,Organic Staples,09-08-2016,558.63
Snacks,Cookies,5/27/2018,817.2
Food Grains,Rice,12-05-2015,848.16
Fruits & Veggies,Fresh Vegetables,6/17/2017,466.2
Food Grains,Atta & Flour,07-08-2018,69.19
Oil & Masala,Masalas,11/16/2018,138.58
Oil & Masala,Spices,09-08-2016,459.54
Fruits & Veggies,Organic Vegetables,11/18/2018,229.14
Bakery,Breads & Buns,5/22/2018,199.65
Beverages,Soft Drinks,9/29/2018,269.61
Food Grains,Dals & Pulses,11-03-2017,206.8
Snacks,Noodles,6/20/2017,246.51
"Eggs, Meat & Fish",Mutton,12-12-2016,60.9
Snacks,Chocolates,3/25/2018,269.1
Beverages,Soft Drinks,1/30/2017,502.74
"Eggs, Meat & Fish",Eggs,12-08-2018,540.21
Fruits & Veggies,Fresh Fruits,7/23/2018,178.06
"Eggs, Meat & Fish",Chicken,1/30/2017,175.5
Beverages,Health Drinks,11-01-2016,342.3
Fruits & Veggies,Organic Fruits,4/24/2017,174.15
"Eggs, Meat & Fish",Eggs,10-01-2018,108
Food Grains,Dals & Pulses,12/26/2017,140.16
Fruits & Veggies,Fresh Fruits,9/29/2018,103.35
"Eggs, Meat & Fish",Fish,09-05-2017,393.6
Oil & Masala,Masalas,7/20/2015,182.59
Snacks,Chocolates,12-12-2016,102.9
Oil & Masala,Spices,11-05-2017,523.25
Fruits & Veggies,Organic Fruits,05-03-2016,472.77
Fruits & Veggies,Fresh Vegetables,05-03-2016,96.72
Snacks,Noodles,1/30/2017,170.38
"Eggs, Meat & Fish",Mutton,11/18/2018,698.1
Snacks,Chocolates,4/23/2018,441.94
"Eggs, Meat & Fish",Chicken,12/20/2015,295.92
Food Grains,Rice,11/28/2018,598.5
Snacks,Cookies,8/24/2016,847.44
"Eggs, Meat & Fish",Mutton,6/13/2016,999.6
Fruits & Veggies,Organic Vegetables,10-02-2016,608
Fruits & Veggies,Organic Vegetables,04-12-2017,854.04
Bakery,Breads & Buns,7/23/2018,253.99
Snacks,Noodles,6/20/2017,243.6
"Eggs, Meat & Fish",Chicken,08-01-2015,54.04
Snacks,Noodles,11-06-2016,157.09
"Eggs, Meat & Fish",Mutton,6/17/2018,87.7
Bakery,Breads & Buns,3/25/2018,772.65
"Eggs, Meat & Fish",Chicken,10-02-2016,72.5
Fruits & Veggies,Organic Vegetables,1/19/2015,61.56
Oil & Masala,Masalas,05-05-2017,248.76
Snacks,Chocolates,6/29/2018,33.84
Oil & Masala,Spices,11/16/2017,454.86
Snacks,Chocolates,12/13/2016,481.8
Beverages,Health Drinks,11/24/2017,965.78
Bakery,Breads & Buns,4/21/2017,202.4
Bakery,Breads & Buns,1/19/2015,815.85
Beverages,Health Drinks,12/20/2015,192.77
Beverages,Health Drinks,3/19/2018,488.64
Bakery,Cakes,7/20/2015,221.22
"Eggs, Meat & Fish",Fish,06-05-2017,719.73
"Eggs, Meat & Fish",Eggs,8/21/2018,619.5
Beverages,Soft Drinks,05-05-2018,717.21
Beverages,Soft Drinks,10-01-2018,482.16
Bakery,Cakes,7/19/2016,451.8
Bakery,Biscuits,11-06-2016,968.76
Oil & Masala,Spices,10-02-2017,132.33
Beverages,Soft Drinks,11-03-2017,405.02
Fruits & Veggies,Fresh Fruits,05-05-2018,74.41
Beverages,Health Drinks,1/19/2015,74.3
Beverages,Health Drinks,09-02-2017,371.62
Snacks,Chocolates,08-12-2017,221.5
Bakery,Cakes,3/22/2015,352.5
Snacks,Cookies,04-04-2016,120.64
Food Grains,Organic Staples,03-05-2018,697.03
Bakery,Biscuits,09-02-2017,204.75
Oil & Masala,Masalas,04-04-2016,54.72
Food Grains,Dals & Pulses,03-05-2018,361.02
Snacks,Noodles,03-05-2018,203.84
Food Grains,Rice,03-05-2018,1037.7
"Eggs, Meat & Fish",Chicken,10/22/2018,137.6
Snacks,Chocolates,12/17/2016,341.36
Food Grains,Atta & Flour,03-05-2018,365.25
Bakery,Biscuits,10-06-2017,270.27
Snacks,Noodles,11-07-2018,976.36
Snacks,Noodles,04-04-2016,392.26
Beverages,Health Drinks,11-05-2017,382.66
Oil & Masala,Edible Oil & Ghee,10-01-2017,132.4
Beverages,Health Drinks,3/17/2015,662.04
Beverages,Soft Drinks,10/15/2016,46.1
Snacks,Chocolates,10-06-2018,172.04
Snacks,Noodles,3/17/2015,146.38
Food Grains,Dals & Pulses,12-11-2018,533
Fruits & Veggies,Organic Vegetables,8/23/2016,169.07
Oil & Masala,Spices,04-10-2018,223.02
Beverages,Health Drinks,6/15/2015,872.76
Beverages,Health Drinks,5/26/2017,701.22
Fruits & Veggies,Fresh Fruits,3/20/2018,519.12
"Eggs, Meat & Fish",Mutton,10-06-2018,353.73
Oil & Masala,Spices,3/17/2015,875.6
Snacks,Noodles,5/26/2017,75.2
Oil & Masala,Masalas,07-05-2015,283.92
Fruits & Veggies,Fresh Fruits,12-11-2016,137.61
Snacks,Chocolates,11-12-2015,350.54
Bakery,Breads & Buns,8/23/2016,438.19
Beverages,Health Drinks,07-08-2016,259.65
Snacks,Chocolates,12/14/2018,480.32
Snacks,Chocolates,10/30/2018,300
"Eggs, Meat & Fish",Mutton,10-04-2017,454.22
Snacks,Noodles,3/20/2018,164.92
Beverages,Health Drinks,8/23/2016,639.2
Food Grains,Rice,07-05-2015,332.64
Food Grains,Organic Staples,8/25/2016,66.35
Food Grains,Organic Staples,8/23/2016,151.25
Oil & Masala,Edible Oil & Ghee,07-02-2016,760
"Eggs, Meat & Fish",Eggs,5/25/2018,899.2
Oil & Masala,Spices,05-05-2018,94.5
"Eggs, Meat & Fish",Fish,9/14/2015,226.24
Snacks,Cookies,3/17/2017,576.9
Bakery,Breads & Buns,09-10-2018,300.12
Bakery,Breads & Buns,09-07-2016,313.5
"Eggs, Meat & Fish",Eggs,3/17/2017,594.59
Food Grains,Rice,4/21/2017,101.22
Beverages,Health Drinks,9/14/2018,433.2
"Eggs, Meat & Fish",Mutton,12-10-2018,396.91
Fruits & Veggies,Organic Fruits,03-05-2016,403.94
Food Grains,Organic Staples,9/25/2016,1025.1
Food Grains,Atta & Flour,11/16/2018,254.16
Oil & Masala,Edible Oil & Ghee,7/31/2016,325.95
Snacks,Chocolates,06-04-2017,130.6
Fruits & Veggies,Fresh Vegetables,05-02-2017,151.06
Beverages,Health Drinks,11/26/2015,923.21
Food Grains,Dals & Pulses,8/23/2015,210.49
Bakery,Breads & Buns,8/23/2015,644.28
Oil & Masala,Spices,03-05-2016,583.43
Food Grains,Organic Staples,3/17/2017,135.98
Bakery,Cakes,09-03-2015,595.14
Bakery,Cakes,12-10-2018,169.51
Beverages,Health Drinks,9/14/2015,939.36
Oil & Masala,Edible Oil & Ghee,4/21/2017,61.65
"Eggs, Meat & Fish",Fish,11/26/2015,475.66
Beverages,Soft Drinks,9/14/2015,492.58
Snacks,Cookies,9/24/2016,458.16
Oil & Masala,Spices,7/20/2015,825.86
Oil & Masala,Masalas,10-03-2015,368.25
Bakery,Breads & Buns,9/24/2016,776.9
"Eggs, Meat & Fish",Chicken,05-08-2017,610.98
Oil & Masala,Edible Oil & Ghee,05-08-2017,181.72
Beverages,Soft Drinks,7/26/2016,175
Beverages,Health Drinks,05-08-2017,399
Snacks,Cookies,9/24/2016,169.8
Snacks,Chocolates,3/16/2018,317.24
Bakery,Biscuits,05-02-2015,714.27
"Eggs, Meat & Fish",Eggs,05-02-2017,833.04
Food Grains,Rice,11/26/2015,868.4
Oil & Masala,Spices,11-09-2016,748.68
Oil & Masala,Masalas,05-08-2017,182.27
Snacks,Chocolates,11/26/2015,157.64
Fruits & Veggies,Fresh Fruits,9/24/2016,312.4
Beverages,Health Drinks,5/25/2018,266.25
Beverages,Soft Drinks,10-03-2015,144.45
Beverages,Soft Drinks,06-10-2018,557.04
Snacks,Noodles,12-06-2016,384.56
Snacks,Noodles,3/31/2015,885.4
Beverages,Health Drinks,10-10-2015,512.4
Food Grains,Organic Staples,9/25/2016,782.64
Fruits & Veggies,Fresh Vegetables,3/16/2018,326.14
Food Grains,Dals & Pulses,7/20/2015,960.3
Beverages,Soft Drinks,9/24/2016,696.54
Fruits & Veggies,Organic Fruits,8/13/2017,108.7
"Eggs, Meat & Fish",Fish,07-01-2017,512.19
Food Grains,Atta & Flour,07-01-2017,61.6
Fruits & Veggies,Fresh Fruits,07-01-2017,492.8
Food Grains,Rice,10/24/2015,264.33
Beverages,Health Drinks,5/22/2017,918.28
"Eggs, Meat & Fish",Chicken,02-07-2017,112.64
Fruits & Veggies,Organic Vegetables,5/19/2018,331.92
Snacks,Chocolates,03-04-2015,417.28
Fruits & Veggies,Organic Fruits,10/20/2018,379.25
Food Grains,Organic Staples,10/20/2018,347.01
Snacks,Chocolates,10/23/2016,286.65
Beverages,Health Drinks,3/31/2015,207.69
Food Grains,Atta & Flour,07-08-2017,940.68
Fruits & Veggies,Fresh Vegetables,10/20/2018,333.06
Bakery,Breads & Buns,5/31/2016,115.08
Food Grains,Dals & Pulses,12-11-2017,164.64
Snacks,Chocolates,06-02-2018,311.17
"Eggs, Meat & Fish",Chicken,8/16/2018,155.1
Bakery,Cakes,7/28/2015,244.3
"Eggs, Meat & Fish",Mutton,05-06-2018,185.04
Fruits & Veggies,Organic Fruits,7/28/2015,776.7
Oil & Masala,Masalas,6/30/2015,455.28
"Eggs, Meat & Fish",Eggs,3/22/2016,1033.72
Snacks,Noodles,8/16/2018,199.54
Fruits & Veggies,Organic Vegetables,10/28/2017,495.3
Oil & Masala,Spices,3/31/2015,102.4
"Eggs, Meat & Fish",Mutton,05-06-2018,542.4
Bakery,Cakes,7/21/2018,149.76
Food Grains,Atta & Flour,12-11-2017,232.21
Food Grains,Dals & Pulses,10/31/2016,1045.35
Oil & Masala,Spices,11/24/2018,431.28
Food Grains,Organic Staples,9/13/2015,354.96
Beverages,Health Drinks,10/22/2017,619.08
Snacks,Noodles,12-11-2017,499
Food Grains,Rice,9/13/2015,314.88
"Eggs, Meat & Fish",Mutton,12-11-2017,461.52
Bakery,Cakes,3/30/2018,157.82
Fruits & Veggies,Fresh Vegetables,06-04-2016,71.04
Oil & Masala,Edible Oil & Ghee,06-04-2016,71.68
Food Grains,Dals & Pulses,10-08-2017,118.32
Snacks,Chocolates,9/17/2018,119.92
Food Grains,Rice,10/17/2016,500.5
Food Grains,Rice,10/31/2016,154.1
Fruits & Veggies,Organic Vegetables,1/30/2018,493.81
"Eggs, Meat & Fish",Eggs,9/13/2015,414.72
Beverages,Health Drinks,10/31/2016,454.4
"Eggs, Meat & Fish",Eggs,8/13/2018,813.12
Beverages,Soft Drinks,10/22/2017,114.66
Food Grains,Organic Staples,9/26/2017,786.88
Fruits & Veggies,Organic Vegetables,05-11-2018,708.3
Oil & Masala,Spices,06-11-2018,359.2
Beverages,Health Drinks,10/19/2015,755.7
Bakery,Breads & Buns,12-03-2018,299.88
Bakery,Biscuits,09-11-2018,440.44
Food Grains,Atta & Flour,12-11-2017,131.64
Food Grains,Atta & Flour,9/26/2017,169.13
"Eggs, Meat & Fish",Mutton,8/13/2018,215.38
Oil & Masala,Edible Oil & Ghee,12/13/2018,184.41
Snacks,Noodles,10/31/2016,434.2
Bakery,Breads & Buns,11-04-2017,188.16
Fruits & Veggies,Organic Vegetables,11-05-2016,393.8
Food Grains,Organic Staples,8/13/2018,88.4
Oil & Masala,Spices,09-11-2018,311.65
Beverages,Soft Drinks,9/26/2017,176.16
Bakery,Biscuits,10/31/2016,110.6
Food Grains,Atta & Flour,9/13/2015,176.48
Bakery,Cakes,9/26/2017,642.64
Fruits & Veggies,Organic Vegetables,05-11-2018,374.44
Food Grains,Dals & Pulses,8/13/2018,280.48
Snacks,Chocolates,04-05-2016,468.41
Oil & Masala,Masalas,09-11-2018,92.43
Oil & Masala,Edible Oil & Ghee,12-11-2017,174.6
Fruits & Veggies,Organic Fruits,08-08-2016,319.5
Fruits & Veggies,Organic Fruits,08-08-2016,175.5
Oil & Masala,Edible Oil & Ghee,05-11-2018,108.3
"Eggs, Meat & Fish",Chicken,12-11-2017,196.56
"Eggs, Meat & Fish",Chicken,10/31/2016,539.44
Fruits & Veggies,Fresh Vegetables,10/16/2015,144.2
Snacks,Chocolates,11-05-2016,740.74
Fruits & Veggies,Fresh Fruits,4/14/2017,273.7
"Eggs, Meat & Fish",Mutton,12-11-2017,404.11
Bakery,Cakes,11/18/2017,261.99
Fruits & Veggies,Organic Fruits,09-11-2018,76.74
Fruits & Veggies,Organic Vegetables,12-11-2017,478.4
Food Grains,Dals & Pulses,6/21/2015,568.8
Food Grains,Dals & Pulses,03-08-2017,243.7
Food Grains,Rice,6/22/2015,129.03
Food Grains,Organic Staples,07-10-2016,249.76
"Eggs, Meat & Fish",Eggs,12-02-2018,88.26
Snacks,Noodles,6/21/2015,92.25
Bakery,Breads & Buns,7/20/2016,384.03
Food Grains,Atta & Flour,1/29/2018,121.85
Fruits & Veggies,Fresh Vegetables,09-10-2018,181.28
Beverages,Soft Drinks,7/23/2018,770.13
Food Grains,Organic Staples,04-05-2015,443.25
Food Grains,Atta & Flour,10-12-2016,129.36
Snacks,Noodles,02-11-2015,762.75
Food Grains,Rice,09-03-2016,594.72
Beverages,Health Drinks,7/20/2016,49.32
Bakery,Breads & Buns,1/29/2018,396.09
Snacks,Cookies,9/18/2018,256.2
Beverages,Health Drinks,09-07-2015,219.84
Oil & Masala,Masalas,9/15/2016,341.22
"Eggs, Meat & Fish",Fish,02-11-2015,230.36
Beverages,Health Drinks,09-10-2018,359.82
Bakery,Biscuits,04-05-2015,143.64
Bakery,Breads & Buns,5/20/2018,94.64
Bakery,Breads & Buns,02-11-2015,368.32
"Eggs, Meat & Fish",Chicken,09-10-2018,533.5
Bakery,Cakes,09-10-2018,267.84
Oil & Masala,Edible Oil & Ghee,09-07-2015,103.05
Oil & Masala,Edible Oil & Ghee,2/27/2017,608.92
Fruits & Veggies,Organic Fruits,08-03-2017,316.1
Fruits & Veggies,Fresh Fruits,5/20/2018,413.54
Snacks,Chocolates,02-11-2015,610.47
Snacks,Chocolates,12-09-2018,865.8
Fruits & Veggies,Organic Fruits,09-10-2018,416.67
Bakery,Breads & Buns,11-11-2018,296.92
Snacks,Chocolates,5/20/2018,580.84
Bakery,Breads & Buns,8/13/2016,102.4
Beverages,Soft Drinks,12-09-2018,246.36
Beverages,Soft Drinks,1/16/2018,182.4
Fruits & Veggies,Fresh Fruits,5/20/2018,474.12
Beverages,Soft Drinks,11/21/2016,289.05
Bakery,Cakes,12-09-2018,424.32
Oil & Masala,Masalas,04-05-2015,457.2
"Eggs, Meat & Fish",Mutton,04-01-2018,116.4
Food Grains,Dals & Pulses,7/20/2016,350.4
Fruits & Veggies,Organic Fruits,1/29/2018,170.64
Food Grains,Dals & Pulses,09-10-2018,673.94
Fruits & Veggies,Organic Fruits,12/20/2017,178.74
"Eggs, Meat & Fish",Eggs,3/29/2018,889.2
"Eggs, Meat & Fish",Mutton,7/20/2016,100.26
Bakery,Breads & Buns,11/21/2016,339.48
Snacks,Cookies,04-05-2015,224.25
"Eggs, Meat & Fish",Chicken,04-01-2018,560.04
Beverages,Health Drinks,7/20/2016,355.35
Snacks,Noodles,1/16/2018,368.28
Beverages,Soft Drinks,9/15/2016,345.92
Bakery,Biscuits,04-09-2018,159.5
Food Grains,Dals & Pulses,5/20/2018,842.84
"Eggs, Meat & Fish",Eggs,9/13/2016,107.22
Oil & Masala,Edible Oil & Ghee,5/18/2015,329.46
Beverages,Soft Drinks,5/21/2015,41.51
Oil & Masala,Edible Oil & Ghee,7/22/2015,319.26
Snacks,Noodles,9/28/2018,177.14
Food Grains,Rice,11/19/2018,195.33
Food Grains,Dals & Pulses,12/13/2015,177.1
"Eggs, Meat & Fish",Mutton,01-02-2018,723.1
Fruits & Veggies,Organic Vegetables,1/19/2018,646.35
"Eggs, Meat & Fish",Eggs,6/17/2015,179.1
Bakery,Breads & Buns,3/25/2018,1034.44
"Eggs, Meat & Fish",Chicken,03-05-2016,524.78
Oil & Masala,Spices,07-12-2016,113.04
Oil & Masala,Masalas,01-03-2016,145.14
Food Grains,Dals & Pulses,11/24/2017,519.96
Food Grains,Atta & Flour,10/23/2018,240.48
Fruits & Veggies,Organic Vegetables,11/24/2017,244.64
Oil & Masala,Masalas,09-09-2015,745.38
Beverages,Soft Drinks,08-08-2017,435.27
Bakery,Breads & Buns,11/24/2017,547.17
Beverages,Health Drinks,1/31/2017,107.34
Food Grains,Organic Staples,10/28/2018,422.28
"Eggs, Meat & Fish",Fish,2/14/2015,260.8
Food Grains,Atta & Flour,7/26/2015,486.78
Food Grains,Rice,01-02-2018,474.24
Food Grains,Dals & Pulses,11/19/2018,506.97
Bakery,Biscuits,09-11-2018,723.84
Beverages,Soft Drinks,08-08-2017,423.3
Beverages,Soft Drinks,10/20/2017,761.04
Fruits & Veggies,Organic Vegetables,11/19/2018,217.3
Food Grains,Organic Staples,02-05-2018,558.83
Snacks,Chocolates,04-02-2015,272.16
Bakery,Cakes,7/14/2017,239.58
Beverages,Soft Drinks,11/24/2017,175
Bakery,Biscuits,4/20/2015,519.86
Oil & Masala,Edible Oil & Ghee,11/17/2016,165.9
Beverages,Health Drinks,5/21/2015,308.56
Snacks,Chocolates,09-11-2018,135.72
Snacks,Noodles,10-09-2018,498.03
Fruits & Veggies,Organic Fruits,10/20/2017,162.75
